Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Case Counts,Death Counts,Death Counts(Per 1000),Case Counts(Per 1000)
10001,25026,36.1,10.98,76.38,12.64,49.01,50.99,54.51,6.14,0.04,20.78,0.25,2.17,15.68,91461.0,96787.0,11.59,26.32,2.52,1.16,46.67,3.02,30.22,0.43,12.78,13311.0,1.79,30.49,69.51,15365.0,86.63,13.37,27.05,72.95,403800.0,18.79,81.21,7.56,9.95,10.28,43.84,28.37,28.71,19.08,49.55,2.25,3.52,21.46,4.13,7745.0,57.0,2.2776312634859743,309.47814273155916
10002,74363,44.8,13.09,63.18,23.74,49.29,50.71,22.16,7.77,0.5,41.7,0,1.59,25.76,34078.0,35607.0,27.52,32.68,6.13,3.51,51.55,4.8,23.73,0.52,8.28,33790.0,2.15,39.43,60.57,36530.0,92.5,7.5,14.49,85.51,696900.0,8.19,91.81,33.86,18.66,12.98,23.86,10.65,41.04,5.55,79.01,0.61,1.27,12.85,0.7,19171.0,412.0,5.5403897099363935,257.80293963395775
10003,54671,31.9,7.18,80.16,12.66,48.78,51.22,67.98,5.01,0.07,15.07,0.13,2.82,8.66,100740.0,129981.0,8.87,24.98,3.93,1.28,46.88,5.07,25.63,0.27,13.89,25158.0,1.78,28.23,71.77,29977.0,83.92,16.08,34.53,65.47,989500.0,29.29,70.71,4.43,5.18,9.23,45.16,36.0,18.84,30.11,41.21,1.84,6.09,15.72,5.03,13634.0,84.0,1.5364635730094565,249.38267088584442
10004,3310,38.4,7.37,84.23,8.4,47.34,52.66,66.89,4.5,0,18.88,0.36,3.14,5.83,182463.0,204949.0,2.81,25.96,2.64,0.59,41.99,0.16,30.01,0.39,24.06,1822.0,1.81,51.11,48.89,2306.0,79.01,20.99,38.25,61.75,1892400.0,15.71,84.29,0.45,2.07,3.48,45.67,48.33,20.36,27.89,53.26,2.97,7.42,2.08,6.38,973.0,2.0,0.6042296072507553,293.95770392749245
10005,8664,30.4,10.2,88.73,1.06,47.68,52.32,70.16,2.01,0,17.47,0,4.25,6.11,120941.0,184681.0,7.54,23.81,1.49,0.23,57.23,0,30.91,3.17,6.98,4649.0,1.86,32.13,67.87,5979.0,77.76,22.24,15.81,84.19,1159600.0,27.24,72.76,0.25,6.48,1.6,51.52,40.15,17.68,36.36,41.91,0.72,9.01,8.49,3.52,2323.0,1.0,0.11542012927054478,268.1209602954755
10006,3260,33.1,10.49,88.99,0.52,44.05,55.95,63.13,4.79,0,17.21,0,4.66,8.8,128585.0,185268.0,6.29,27.81,0.68,0.72,61.24,0.86,28.26,1.41,8.25,1811.0,1.8,46.94,53.06,2219.0,81.61,18.39,19.16,80.84,941300.0,28.72,71.28,0,1.79,5.08,41.46,51.66,28.16,37.47,41.61,1.63,3.38,13.29,2.61,1048.0,1.0,0.3067484662576687,321.4723926380368
10009,58267,37.0,10.66,74.48,14.86,46.96,53.04,51.41,7.1,0.11,14.46,0.01,3.4,23.13,57170.0,68220.0,24.28,32.31,5.29,0.98,55.79,5.89,18.41,0.39,11.18,29356.0,1.96,31.19,68.81,31277.0,93.86,6.14,7.39,92.61,476000.0,13.25,86.75,12.34,13.02,13.21,36.96,24.47,23.88,23.53,48.94,0.88,4.28,17.85,4.52,15057.0,182.0,3.1235519247601555,258.4138534676575
10010,34763,36.1,13.24,70.13,16.62,49.52,50.48,61.59,10.79,0,14.83,0,2.85,9.03,103737.0,139188.0,10.08,31.59,8.25,1.7,44.99,3.46,25.08,0.9,12.87,16499.0,1.92,41.15,58.85,19155.0,86.13,13.87,30.3,69.7,966500.0,18.18,81.82,3.45,9.67,10.69,37.25,38.93,20.51,18.6,50.18,4.25,0.52,21.55,4.91,7673.0,62.0,1.7835054511981128,220.7231826942439
10011,50228,41.9,8.94,74.62,16.44,50.64,49.36,69.74,4.02,0,8.85,0.01,3.36,13.69,123969.0,136208.0,9.71,24.18,4.89,1.09,50.85,3.0,22.29,0.33,13.75,28775.0,1.67,32.95,67.05,34105.0,84.37,15.63,38.56,61.44,1084700.0,19.48,80.52,3.8,4.87,10.42,40.24,40.67,23.49,30.24,35.81,4.23,3.67,21.1,4.95,12973.0,99.0,1.9710121844389583,258.2822330174405
10012,23034,35.0,7.91,77.55,14.54,47.63,52.37,68.99,2.24,0,17.28,0,3.1,8.31,101031.0,110490.0,10.99,24.46,3.44,2.3,45.07,4.28,24.4,0.08,15.36,12574.0,1.72,34.65,65.35,14779.0,85.08,14.92,17.89,82.11,1731700.0,21.18,78.82,4.49,5.94,7.67,46.37,35.54,26.17,31.77,46.3,1.31,4.93,12.08,3.62,5648.0,29.0,1.2590084223322047,245.202743770079
