Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000),area,population_density
60647,85658,32.2,17.56,75.14,7.3,49.75,50.25,48.5,4.72,0.02,3.96,0.01,2.99,39.72,51166.0,82433.0,12.61,33.43,40.87,5.22,32.92,3.71,3.61,0.09,11.99,36032.0,2.36,36.54,63.46,39491.0,91.24,8.76,37.52,62.48,434500.0,18.8,81.2,9.89,17.45,15.28,35.73,21.65,17.1,14.76,14.11,1.67,0.68,66.31,2.47,184,2.15,17196,200.75,4,21414.5
60639,88515,34.6,26.29,62.24,11.47,49.9,50.1,8.07,13.24,0.12,1.39,0.01,0.8,76.25,21614.0,51810.0,17.35,38.62,62.28,12.4,17.4,0.56,2.33,0.11,3.39,25807.0,3.42,42.92,57.08,28543.0,90.41,9.59,50.29,49.71,245300.0,9.2,90.8,31.66,30.62,24.16,9.32,4.24,32.87,4.69,2.99,0.61,0.0,91.67,0.03,278,3.14,24130,272.61,5,17703.0
60707,42434,40.0,21.06,63.6,15.33,47.33,52.67,46.85,6.63,0.19,3.31,0.0,1.11,41.51,31849.0,64790.0,6.84,35.05,69.44,11.76,10.59,0.23,1.44,0.4,4.32,15490.0,2.73,48.49,51.51,16738.0,92.54,7.46,63.47,36.53,267000.0,8.15,91.85,14.2,27.5,30.45,16.73,11.11,26.15,42.45,11.93,0.98,0.0,44.29,0.34,130,3.06,4235,99.8,4,10608.5
60622,52957,32.2,13.41,79.84,6.75,50.64,49.36,64.44,5.35,0.0,4.53,0.13,3.99,21.27,67985.0,106128.0,9.49,31.37,39.55,5.01,30.29,4.69,3.73,0.27,14.08,24297.0,2.16,36.0,64.0,26519.0,91.62,8.38,39.54,60.46,524400.0,20.97,79.03,5.83,9.62,12.86,44.9,26.79,13.3,38.17,19.04,1.6,0.5,38.03,2.65,89,1.68,11074,209.11,2,26478.5
60651,63679,33.9,26.37,61.38,12.25,46.37,53.63,5.0,53.02,0.11,0.28,0.0,0.99,39.95,19526.0,41107.0,25.19,37.46,61.29,10.57,19.72,1.51,2.18,0.66,3.65,19932.0,3.18,32.31,67.69,22513.0,88.54,11.46,44.21,55.79,191500.0,9.9,90.1,21.89,34.41,30.47,8.03,5.19,13.92,1.55,2.46,0.89,0.0,94.89,0.21,182,2.86,14030,220.32,3,21226.3
60611,33937,38.4,6.27,73.0,20.73,46.8,53.2,68.54,2.82,0.0,20.67,0.0,2.02,5.73,114009.0,108413.0,10.06,24.43,26.12,2.56,17.04,1.19,32.54,0.21,12.67,21714.0,1.54,43.58,56.42,27044.0,80.29,19.71,45.47,54.53,574300.0,25.17,74.83,0.78,3.73,8.8,40.38,46.31,23.03,22.04,50.95,6.94,0.7,13.02,6.36,28,0.83,5623,165.69,1,33937.0
60638,57057,38.3,24.19,62.31,13.5,50.95,49.05,42.33,3.43,0.11,0.54,0.0,0.67,52.84,31202.0,68041.0,8.66,33.72,74.61,8.69,9.56,0.33,2.47,0.06,3.62,20226.0,2.82,51.42,48.58,21181.0,95.49,4.51,78.66,21.34,229800.0,7.67,92.33,14.64,33.95,29.61,15.36,6.44,20.08,28.35,2.37,0.92,0.03,68.33,0.0,164,2.87,14299,250.61,11,5187.0
60652,42296,36.6,25.46,62.48,12.06,48.57,51.43,10.27,44.14,0.05,0.84,0.0,1.25,43.39,26594.0,71267.0,13.83,40.09,68.75,10.65,14.12,0.0,0.49,0.05,4.32,13093.0,3.21,43.61,56.39,13773.0,95.06,4.94,83.45,16.55,183900.0,5.17,94.83,17.94,30.21,31.69,12.69,7.47,17.65,6.16,9.35,1.66,0.0,82.81,0.01,128,3.03,10108,238.98,5,8459.2
60626,51017,34.3,17.17,73.22,9.61,48.36,51.64,45.25,26.39,0.04,6.09,0.02,3.17,18.14,29927.0,45632.0,21.36,37.4,37.27,5.28,38.99,2.84,5.13,0.9,9.41,23042.0,2.06,31.58,68.42,25449.0,90.54,9.46,25.48,74.52,220800.0,19.66,80.34,11.13,16.61,23.75,28.75,19.76,24.73,17.61,19.88,28.47,0.32,32.51,1.21,191,3.74,8984,176.1,2,25508.5
60615,41198,34.7,14.83,70.29,14.88,45.05,54.95,28.51,52.75,0.04,8.19,0.0,4.68,5.48,40185.0,44658.0,26.39,30.86,34.81,3.6,27.89,3.83,13.5,0.34,15.05,21613.0,1.87,29.71,70.29,24210.0,89.27,10.73,30.09,69.91,261700.0,23.66,76.34,6.53,11.45,19.87,27.24,34.9,12.32,18.46,46.88,10.73,0.57,16.94,6.42,66,1.6,6197,150.42,2,20599.0
