zipcode,area,,
60007,14,,
60018,16,,
60068,7,,
60106,9,,
60131,6,,
60176,3,,
60601,0,,
60602,0,,
60603,0,,
60604,0,,
60605,1,,
60606,0,,
60607,2,,
60608,6,,
60609,8,,
60610,1,,
60611,1,,
60612,4,,
60613,2,,
60614,3,,
60615,2,,
60616,4,,
60617,14,,
60618,5,,
60619,6,,
60620,7,,
60621,4,,
60622,2,,
60623,5,,
60624,4,,
60625,4,,
60626,2,,
60628,11,,
60629,7,,
60630,5,,
60631,4,,
60632,7,,
60633,10,,
60634,7,,
60636,4,,
60637,5,,
60638,11,,
60639,5,,
60640,2,,
60641,4,,
60642,2,,
60643,7,,
60644,4,,
60645,2,,
60646,5,,
60647,4,,
60649,3,,
60651,3,,
60652,5,,
60653,2,,
60654,1,,
60655,4,,
60656,3,,
60657,2,,
60659,2,,
60660,1,,
60661,0,,
60706,3,,
60707,4,,
60714,6,,
60804,8,,
60827,7,,
