Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
02/01/2022,801,9,41,217,128,160,106,70,56,48,16,0,436,357,8,187,50,120,236,37,171,0,0,1,0,1,2,2,3,0,4,5,0,2,1,5,1,0,0,1,1,5,2,3,12,14,3,0,20,21,0,10,1,16,10,0,4
11/22/2020,780,15,101,62,199,160,141,88,76,34,20,0,384,395,1,203,29,135,286,37,90,0,0,0,2,1,4,4,4,0,8,7,0,6,0,3,6,0,0,2,7,10,16,8,22,24,12,0,47,54,0,28,3,41,21,5,3
02/03/2021,572,7,40,83,143,100,75,63,65,27,16,0,292,280,0,205,18,132,154,16,47,0,0,0,1,0,2,2,2,0,2,5,0,3,0,3,1,0,0,0,3,2,5,6,11,8,5,0,20,20,0,17,0,16,4,1,2
08/05/2021,479,2,31,76,149,130,56,34,21,8,5,0,233,243,3,88,17,106,168,20,80,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,1,3,6,2,5,6,3,5,0,16,15,0,4,2,18,6,1,0
03/26/2020,413,2,132,2,65,74,78,96,53,36,9,0,181,232,0,82,14,201,98,10,8,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,7,11,23,25,26,28,12,0,57,75,0,27,1,81,19,4,0
01/03/2022,9627,22,261,2300,1992,1687,1295,1128,760,273,182,10,5243,4288,96,2176,430,1912,2107,789,2213,0,0,0,1,3,7,4,7,0,9,13,0,4,0,12,5,1,0,11,32,16,25,45,44,42,46,0,146,115,0,49,6,125,62,11,8
06/14/2020,92,12,27,6,22,18,20,14,6,2,4,0,44,48,0,38,1,28,7,6,12,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,5,3,3,0,11,16,0,12,1,10,1,2,1
02/03/2022,522,17,40,138,105,109,49,51,32,26,11,1,266,250,6,127,30,75,165,27,98,0,1,0,2,2,5,2,5,0,9,8,0,4,0,8,4,1,0,0,3,4,3,9,6,11,4,0,25,15,0,16,0,15,7,2,0
10/03/2020,227,3,31,26,57,46,35,28,20,9,6,0,121,106,0,76,7,36,75,9,24,0,0,0,0,1,1,0,1,0,1,2,0,2,0,1,0,0,0,0,2,5,2,4,10,4,4,0,15,16,0,13,0,12,5,0,1
04/10/2021,557,8,52,88,150,112,91,65,28,15,8,0,281,275,1,158,29,160,147,16,47,0,0,0,1,0,4,1,2,0,5,3,0,3,0,4,1,0,0,1,5,3,10,12,7,8,6,0,21,31,0,11,1,34,5,0,1
03/07/2021,173,4,14,16,42,39,33,24,11,5,3,0,83,90,0,48,16,28,62,11,8,0,0,0,0,1,1,0,2,0,2,2,0,0,0,2,2,0,0,1,0,2,1,3,0,3,4,0,7,7,0,9,1,2,2,0,0
05/25/2020,252,23,78,7,34,35,41,43,49,26,17,0,123,127,2,85,7,82,57,3,18,0,0,1,0,4,4,7,7,0,11,12,0,5,0,10,7,1,0,2,10,4,7,12,17,11,15,0,37,41,0,28,2,36,9,0,3
12/01/2021,1219,6,64,294,296,222,172,96,73,43,23,0,653,555,11,207,34,282,332,139,225,0,0,1,0,1,3,1,0,0,2,4,0,0,0,3,3,0,0,2,9,2,2,11,10,17,11,0,36,28,0,12,0,26,19,6,1
11/24/2021,675,6,54,140,148,129,105,61,54,30,8,0,324,346,5,112,32,140,188,73,130,0,0,0,1,0,0,1,4,0,3,3,0,2,0,3,1,0,0,1,5,6,3,10,10,13,6,0,31,23,0,11,1,24,17,1,0
08/22/2020,191,2,17,18,59,32,28,26,16,10,2,0,96,93,2,74,5,30,60,13,9,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,3,2,3,6,0,0,12,5,0,2,0,10,4,1,0
05/11/2020,1017,38,128,62,206,197,192,142,118,69,31,0,519,494,4,584,16,185,112,25,95,0,0,1,3,6,3,6,19,0,14,24,0,16,0,15,7,0,0,5,5,10,17,24,26,28,13,0,51,77,0,52,3,43,22,6,2
10/09/2020,668,4,30,67,172,168,100,69,52,27,13,0,325,342,1,279,12,100,209,25,43,0,0,0,1,0,1,1,1,0,0,4,0,1,0,0,2,0,1,2,3,4,4,5,4,3,5,0,16,14,0,8,0,11,10,1,0
