ZIP Code,Cases,Deaths
28777,1310,14
28725,17,
28719,844,9
28668,22,
28667,39,
28658,2808,37
28646,59,1
28637,264,3
28631,59,
28629,8,
28601,5215,77
28586,964,6
28519,34,1
28463,1357,27
28453,455,6
28447,141,
28432,198,3
28398,783,23
28386,707,8
28375,17,
28372,1635,12
28360,1529,18
28350,24,
28347,189,
28328,2866,43
28174,971,4
28160,479,9
28159,342,14
28147,2828,72
28127,930,7
28101,62,1
28088,311,1
28086,2707,52
28039,43,3
28034,2027,27
27885,284,3
27880,331,
27869,249,12
27843,101,1
27827,19,
27553,433,
27509,1422,35
27229,458,12
27217,4182,72
27212,319,1
27209,636,31
28761,804,14
28752,2960,32
28745,53,
28731,706,11
28726,269,3
28717,118,4
28697,1174,31
28690,783,12
28689,155,
28681,2537,47
28677,2958,45
28675,550,4
28659,1781,30
28655,4995,47
28650,1186,13
28645,4367,28
28642,457,5
28640,427,15
28638,1177,3
28636,472,8
28630,2015,8
28625,3072,56
28621,972,26
28613,2498,40
28612,1213,29
28610,924,9
28609,488,6
28602,2877,63
28590,2181,13
28580,955,27
28574,1350,13
28573,188,13
28572,510,6
28538,304,2
28529,216,1
28527,85,2
28521,175,8
28518,667,10
28508,242,5
28504,1770,38
28480,215,
28472,1588,40
28466,889,28
28464,226,3
28460,811,1
28458,570,10
28456,305,3
28455,151,2
28452,51,2
28444,200,
28441,274,4
28438,130,3
28431,585,16
28430,168,2
28425,1048,14
28393,204,3
28392,132,1
28385,274,2
28384,1167,12
28383,747,7
28379,1987,48
28377,1274,23
28369,182,4
28366,502,6
28365,1427,34
28364,1382,12
28363,103,1
28358,3772,62
28352,2361,55
28349,338,13
28345,1061,19
28344,304,5
28343,136,2
28341,439,2
28340,1000,21
28339,564,8
28334,2414,31
28333,979,18
28310,840,
28273,3700,30
28227,4791,41
28217,2834,12
28216,4814,44
28215,5513,45
28214,3975,27
28213,4102,36
28212,3908,30
28210,3503,33
28208,3571,32
28206,1291,7
28205,3982,51
28204,864,4
28203,1790,5
28202,1614,1
28170,959,28
28168,950,8
28167,190,2
28166,751,15
28164,1350,38
28152,2288,35
28150,2759,75
28146,2492,44
28144,2184,47
28139,1822,70
28138,905,17
28134,1043,19
28133,225,3
28129,465,4
28128,639,7
28125,215,1
28120,2061,26
28119,229,5
28112,2484,32
28110,4779,48
28107,686,7
28103,924,13
28098,328,2
28097,588,1
28092,3716,28
28083,2085,33
28081,2300,27
28080,672,3
28079,3005,23
28073,450,8
28071,258,4
28056,3277,34
28054,3760,60
28052,3441,69
28043,2106,55
28037,2095,6
28033,331,3
28032,299,1
28025,4336,58
28023,1321,14
28021,1226,26
28020,203,1
28018,480,19
28016,1248,17
28012,2204,17
28006,98,
28001,2592,70
27983,836,23
27980,175,2
27960,89,
27932,1069,20
27917,92,6
27910,1092,44
27896,1827,29
27893,3666,83
27892,1213,16
27890,208,13
27889,2503,57
27888,219,
27886,1734,63
27884,138,1
27882,684,8
27870,2366,42
27866,65,1
27865,161,1
27864,424,4
27858,4827,14
27856,1619,20
27846,238,2
27840,50,2
27837,497,2
27834,4906,27
27832,267,5
27829,143,1
27822,731,9
27807,680,8
27804,2414,69
27704,3326,34
27616,4329,10
27610,6683,56
27605,474,4
27597,2069,10
27591,1853,11
27577,2468,29
27576,1575,17
27569,765,4
27565,1994,38
27545,2454,28
27537,1909,32
27536,1428,41
27524,1110,11
27520,3327,45
27504,1349,15
27379,464,9
27371,702,8
27370,1167,26
27360,3824,44
27357,675,8
27356,284,5
27344,1650,27
27330,3141,33
27325,615,5
27317,1388,15
27316,576,13
27306,543,12
27305,128,1
27301,772,12
27299,454,1
