OBJECTID,ZIP_CODE,Positive,CasesP100000,ActiveCases,Deaths,ActiveCaseRate,DeathRate,CaseChange,CaseChangeRate,Equity_Score,OverallCoVIDScore,TotPop2021,SHAPE_Length,SHAPE_Area
1,78002,2712,29851.4034122179,148,21,88.0572372041827,231.15024766098,-196,-73.4082397003745,7,15,9085,0.427542058560514,0.00954623788490874
4,78015,2407,17618.211096472,168,11,58.5565802957107,80.5152979066023,-178,-74.4769874476987,2,5,13662,0.278955129453189,0.00231200753284117
5,78023,5907,20017.6217425192,527,41,91.4975092344708,138.940662170863,-407,-73.3333333333333,3,7,29509,0.886454761018305,0.0179216942251221
12,78069,405,17059.8146588037,0,8,0,336.98399326032,-4,-40,8,15,2374,0.254858728476289,0.00204096903047596
13,78073,3006,37678.616194535,162,18,112.81022812735,225.6204562547,-357,-81.5068493150685,8,15,7978,0.580797711621007,0.01168479787501
14,78101,925,20767.8491243826,54,13,67.3551863493489,291.872474180512,-70,-76.0869565217391,3,9,4454,0.543171950721,0.00650219695453448
16,78109,12663,23238.6999688022,825,83,82.5824448073994,152.318731533648,-978,-75.2307692307692,5,10,54491,0.737848686813744,0.00768190076697597
17,78112,2749,30932.8232249353,150,19,123.776302464274,213.7954315292,-249,-76.6153846153846,6,12,8887,0.542672385774156,0.0114077974449131
21,78148,3985,19392.671176213,243,39,72.9962528590199,189.790257433452,-242,-69.7406340057637,5,9,20549,0.308430816718527,0.00146786220547511
23,78152,821,28068.3760683761,47,8,68.3760683760684,273.504273504273,-60,-65.2173913043478,3,12,2925,0.495777478368104,0.00784450832449107
24,78154,1187,9210.83262202219,10,15,31.0390315822146,116.396368433305,9,23.0769230769231,3,6,12887,0.739526071602454,0.00430998923210092
27,78201,12766,28434.6044191019,772,189,126.960085531005,420.972915181753,-932,-78.7827557058326,10,19,44896,0.247548532380663,0.00172051544941901
28,78202,3662,26823.9085848227,232,49,102.549077058306,358.921769704073,-320,-84.4327176781003,10,18,13652,0.125396079151249,0.000595885445525836
