RptDt,GEOID,GEOName,POS_CUM_CP,POS_NEW_CP,POS_7DAYAVG_CP,DTH_CUM_CP,DTH_NEW_CP,DTH_7DAYAVG_CP,DTH_OVER_30DAYS_CP,DTH_CP_Daily,TESTS_POS_CONF,TESTS_POS_CONF_NEW,TESTS_POS_CONF_7DAYAVG,PercentNAATPos,NEG_7DAYAVG,TESTS_CUM,TESTS_NEW,TESTS_7DAYAVG,POS_CUM_CONF,POS_NEW_CONF,POS_7DAYAVG_CONF,POS_CUM_PROB,POS_NEW_PROB,POS_7DAYAVG_PROB,DTH_CUM_CONF,DTH_NEW_CONF,DTH_7DAYAVG_CONF,DTH_CONF_Daily,DTH_CUM_PROB,DTH_NEW_PROB,DTH_7DAYAVG_PROB,DTH_PROB_Daily,POS_MALE_CP,POS_FEM_CP,POS_OTH_CP,POS_0_9_CP,POS_10_19_CP,POS_20_29_CP,POS_30_39_CP,POS_40_49_CP,POS_50_59_CP,POS_60_69_CP,POS_70_79_CP,POS_80_89_CP,POS_90_CP,DTHS_FEM_CP,DTHS_MALE_CP,DTHS_OTH_CP,DTHS_0_9_CP,DTHS_10_19_CP,DTHS_20_29_CP,DTHS_30_39_CP,DTHS_40_49_CP,DTHS_50_59_CP,DTHS_60_69_CP,DTHS_70_79_CP,DTHS_80_89_CP,DTHS_90_CP,POS_AIAN_CP,POS_ASN_CP,POS_BLK_CP,POS_WHT_CP,POS_MLTOTH_CP,POS_UNK_CP,POS_E_HSP_CP,POS_E_NHSP_CP,POS_E_UNK_CP,DTH_AIAN_CP,DTH_ASN_CP,DTH_BLK_CP,DTH_WHT_CP,DTH_MLTOTH_CP,DTH_UNK_CP,DTH_E_HSP_CP,DTH_E_NHSP_CP,DTH_E_UNK_CP,POS_HC_Y_CP,POS_HC_N_CP,POS_HC_UNK_CP,HOSP_YES_CP,HOSP_NO_CP,HOSP_UNK_CP,Date,POP,POP_MOE,OBJECTID,GEO,ShapeSTArea,ShapeSTLength
2022/04/19 19:00:00+00,54403,54403,6922,0,2.43,90,0,0,0,0,,,,,9.29,69342,8,49,6466,0,2.29,456,0,0.14,78,0,0,0,12,0,0,0,3408,3498,16,601,930,1136,1267,995,856,625,329,132,51,40,50,-999,-999,-999,-999,-999,-999,9,17,26,17,13,49,550,188,5628,191,316,293,4194,2435,-999,7,-999,77,-999,-999,-999,61,26,194,1535,5193,308,6608,6,2022/04/18 06:00:00+00,24525,791,407,ZCTA,699432788.527344,168398.098974422
2022/04/19 19:00:00+00,54405,54405,935,0,0,24,0,0,0,0,,,,,0.86,6845,0,2.43,876,0,0,59,0,0,23,0,0,0,1,0,0,0,421,513,1,69,137,157,167,108,100,91,49,42,15,13,11,-999,-999,-999,-999,-999,-999,-999,-999,6,9,6,-999,5,7,697,63,159,337,468,130,-999,-999,-999,23,-999,-999,-999,21,-999,19,254,662,63,838,34,2022/04/18 06:00:00+00,3061,293,408,ZCTA,154748069.386719,67460.8976129973
2022/04/19 19:00:00+00,54406,54406,932,1,0.71,7,0,0,0,0,,,,,0.86,7631,1,4.14,787,1,0.43,145,0,0.29,7,0,0,0,0,0,0,0,455,472,5,76,137,98,124,171,176,90,47,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,5,876,19,23,22,784,126,-999,-999,-999,7,-999,-999,-999,6,-999,49,512,371,34,447,451,2022/04/18 06:00:00+00,3423,237,409,ZCTA,343297347.738281,116167.969981541
2022/04/19 19:00:00+00,54407,54407,329,0,0,1,0,0,0,0,,,,,0,2994,0,1.57,283,0,0,46,0,0,1,0,0,0,0,0,0,0,166,163,0,17,42,51,51,45,55,43,19,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,311,7,11,-999,265,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,168,138,13,164,152,2022/04/18 06:00:00+00,1468,149,410,ZCTA,245427650.28125,103439.19191923
2022/04/19 19:00:00+00,54408,54408,252,0,0,3,0,0,0,0,,,,,0.14,1668,0,0.43,238,0,0,14,0,0,3,0,0,0,0,0,0,0,112,140,0,15,24,33,42,45,49,28,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,227,6,13,-999,122,130,-999,-999,-999,-999,-999,-999,-999,-999,-999,16,73,163,9,233,10,2022/04/18 06:00:00+00,997,105,411,ZCTA,231621719.039062,130064.273849683
2022/04/19 19:00:00+00,54409,54409,3559,0,0.29,70,0,0,0,0,,,,,4.57,28237,14,18.57,3351,0,0.29,208,0,0,56,0,0,0,14,0,0,0,1611,1941,7,267,455,472,557,521,461,409,241,125,51,25,44,-999,-999,-999,-999,-999,-999,5,8,18,23,13,37,18,33,3264,84,123,93,1588,1878,-999,-999,-999,65,-999,-999,-999,54,15,228,2349,982,198,2397,964,2022/04/18 06:00:00+00,12900,215,412,ZCTA,1109977272.57031,210113.646858945
2022/04/19 19:00:00+00,54410,54410,584,0,0.14,6,0,0,0,0,,,,,0.71,4109,2,2.14,561,0,0.14,23,0,0,6,0,0,0,0,0,0,0,270,314,0,56,68,58,97,111,89,63,30,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,490,-999,86,9,525,50,-999,-999,-999,5,-999,-999,-999,5,-999,48,320,216,30,318,236,2022/04/18 06:00:00+00,2594,213,413,ZCTA,338499377.8125,118029.319557864
2022/04/19 19:00:00+00,54489,54489,332,0,0,5,0,0,0,0,,,,,0.57,2590,0,2.57,311,0,0,21,0,0,3,0,0,0,2,0,0,0,156,175,1,29,41,36,45,49,63,42,18,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,292,7,25,8,266,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,174,135,15,210,107,2022/04/18 06:00:00+00,1660,139,414,ZCTA,225544971.152344,93249.5213313871
2022/04/19 19:00:00+00,54490,54490,170,0,0,1,0,0,0,0,,,,,0.29,1329,1,0.29,139,0,0,31,0,0,1,0,0,0,0,0,0,0,76,94,0,6,30,25,19,28,28,16,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,153,5,9,-999,143,24,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,95,63,7,109,54,2022/04/18 06:00:00+00,762,102,415,ZCTA,599999065.007812,193476.907181809
2022/04/19 19:00:00+00,54491,54491,299,0,0,3,0,0,0,0,,,,,0.57,2889,0,1.43,251,0,0,48,0,0,3,0,0,0,0,0,0,0,131,166,2,10,30,35,34,43,48,51,33,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,278,-999,9,-999,167,129,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,173,100,15,192,92,2022/04/18 06:00:00+00,1555,88,416,ZCTA,951328220.097656,225005.083665518
