Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000)
28777,10546,43.9,14.74,67.02,18.24,60.8,39.2,82.52,5.77,1.39,0.36,0.0,1.74,8.22,21966.0,49713.0,13.49,19.23,77.68,15.38,0.0,0.0,2.65,0.19,4.1,3614.0,2.24,49.06,50.94,4700.0,76.89,23.11,78.86,21.14,163100.0,13.98,86.02,15.1,31.96,34.09,13.32,5.54,5.95,11.31,8.76,3.82,2.55,58.12,15.45,14.0,1.3275175421960932,1310.0,124.21771287692016
28719,7404,36.2,25.63,59.09,15.28,49.55,50.45,13.28,1.03,74.51,2.81,0.0,4.48,3.89,20509.0,43490.0,18.57,14.5,90.03,2.49,0.0,0.0,0.78,1.17,5.53,2822.0,2.57,42.1,57.9,3523.0,80.1,19.9,72.61,27.39,116700.0,13.1,86.9,17.01,36.3,32.96,9.52,4.2,2.32,0.0,43.02,0.0,0.0,56.98,0.0,9.0,1.2155591572123177,844.0,113.99243652079956
28667,363,34.6,29.75,58.95,11.29,52.62,47.38,81.54,0.0,0.0,0.0,0.0,0.0,18.46,23136.0,35714.0,17.36,18.53,87.65,11.11,0.0,0.0,0.0,0.0,1.23,156.0,2.33,34.71,65.29,245.0,63.67,36.33,60.9,39.1,80300.0,14.89,85.11,26.98,50.23,14.42,4.65,3.72,3.58,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,39.0,107.43801652892564
28658,27818,41.7,21.38,60.04,18.57,48.45,51.55,71.64,8.21,0.27,2.26,0.0,4.2,13.01,26937.0,55442.0,10.8,21.77,82.19,8.4,1.41,0.0,0.48,0.41,4.23,10786.0,2.5,49.33,50.67,11623.0,92.8,7.2,72.48,27.52,133100.0,14.43,85.57,14.19,32.29,35.07,13.19,5.25,5.14,6.78,9.57,0.56,0.0,80.85,2.24,37.0,1.3300740527715866,2808.0,100.94183622115176
28646,393,52.8,16.03,49.62,34.35,54.71,45.29,92.88,0.0,0.0,0.0,0.0,0.0,7.12,57717.0,67163.0,0.25,12.62,62.94,1.02,0.0,0.0,0.0,0.0,36.04,171.0,2.3,76.42,23.58,1335.0,12.81,87.19,76.02,23.98,400000.0,14.25,85.75,0.0,35.46,26.84,18.53,19.17,3.56,92.86,0.0,0.0,0.0,0.0,7.14,1.0,2.544529262086514,59.0,150.12722646310434
28637,1392,46.1,17.82,60.63,21.55,51.8,48.2,84.12,6.39,0.0,0.79,0.0,3.16,0.0,26962.0,40994.0,17.67,19.13,94.03,1.16,0.0,0.0,0.0,5.53,1.66,647.0,2.15,57.66,42.34,724.0,89.36,10.64,71.25,28.75,143100.0,9.12,90.88,17.45,40.41,28.35,6.08,7.71,0.72,0.0,0.0,0.0,0.0,100.0,0.0,3.0,2.155172413793103,264.0,189.65517241379308
28631,1175,34.5,39.4,41.62,18.98,45.96,54.04,97.62,0.0,0.0,0.0,0.0,0.0,2.38,17272.0,33532.0,24.51,23.21,74.19,25.81,0.0,0.0,0.0,0.0,0.0,424.0,2.72,67.98,32.02,790.0,53.67,46.33,66.75,33.25,166800.0,3.32,96.68,16.13,36.07,37.39,4.11,6.3,1.96,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59.0,50.212765957446805
28601,50265,41.0,20.45,61.65,17.91,48.8,51.2,75.65,7.01,0.04,5.15,0.0,2.32,9.82,33198.0,55856.0,13.15,21.29,82.3,9.22,0.45,0.0,1.39,2.83,3.82,20473.0,2.39,50.89,49.11,22611.0,90.54,9.46,67.0,33.0,177800.0,14.17,85.83,11.07,24.8,31.65,21.02,11.46,8.04,9.19,34.64,0.74,0.62,54.02,0.79,77.0,1.5318810305381478,5215.0,103.75012434099273
28586,7185,41.3,19.6,60.42,19.99,47.81,52.19,63.92,30.54,1.06,0.0,0.0,1.89,2.59,21159.0,39044.0,19.32,26.42,78.01,12.4,0.0,0.0,1.74,2.61,5.25,2981.0,2.31,56.91,43.09,3458.0,86.21,13.79,74.04,25.96,107800.0,10.23,89.77,16.22,35.89,41.51,4.66,1.71,1.61,34.48,4.31,0.0,0.0,61.21,0.0,6.0,0.8350730688935283,964.0,134.16840640222685
28519,299,39.3,25.75,52.17,22.07,44.82,55.18,73.91,10.7,0.0,0.0,0.0,0.0,15.38,30853.0,45750.0,24.75,25.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2.06,45.05,54.95,183.0,79.23,20.77,79.31,20.69,128100.0,13.75,86.25,7.98,23.94,32.39,30.05,5.63,3.68,0.0,0.0,0.0,0.0,100.0,0.0,1.0,3.3444816053511706,34.0,113.7123745819398
28463,8732,44.1,15.63,64.2,20.17,54.97,45.03,59.4,29.2,1.08,0.24,0.0,2.36,7.33,20847.0,30053.0,28.57,35.39,81.86,10.63,0.0,0.0,1.19,0.39,4.7,2979.0,2.38,36.84,63.16,3558.0,83.73,16.27,74.45,25.55,76800.0,15.15,84.85,23.37,40.18,27.99,4.44,4.02,2.49,2.76,4.15,4.15,0.0,88.94,0.0,27.0,3.092075125973431,1357.0,155.4054054054054
28453,3937,34.4,26.14,61.75,12.12,49.68,50.32,30.12,28.19,1.83,0.0,0.0,0.38,39.45,18515.0,41227.0,25.65,25.22,75.12,13.12,0.0,0.06,0.0,0.03,9.42,1330.0,2.95,52.21,47.79,1718.0,77.42,22.58,75.64,24.36,72700.0,11.7,88.3,29.68,29.14,24.02,14.55,2.62,18.69,0.14,0.0,0.0,0.0,99.86,0.0,6.0,1.524003048006096,455.0,115.57023114046228
28447,1941,41.9,17.62,67.75,14.63,45.49,54.51,37.25,24.73,0.0,0.0,0.0,0.46,37.56,33047.0,41466.0,23.18,21.92,72.39,27.61,0.0,0.0,0.0,0.0,0.0,544.0,3.33,33.4,66.6,711.0,76.51,23.49,80.33,19.67,151300.0,2.88,97.12,26.14,26.14,30.98,7.27,9.47,25.14,2.05,0.0,0.0,0.0,97.95,0.0,0.0,0.0,141.0,72.64296754250387
28432,1371,50.2,20.28,54.34,25.38,46.02,53.98,85.63,14.37,0.0,0.0,0.0,0.0,0.0,22625.0,57750.0,11.82,24.31,98.16,0.0,0.0,0.0,1.84,0.0,0.0,524.0,2.62,51.01,48.99,727.0,72.08,27.92,89.12,10.88,81600.0,11.74,88.26,28.08,31.41,32.88,4.7,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1881838074398248,198.0,144.42013129102847
